U,X,Y
70.001324,1050,2250
70.014754,1050,2300
70.014754,1050,2350
67.398643,1050,2400
67.398643,1050,2450
77.275091,1100,0
77.275091,1100,50
75.294951,1100,100
75.294951,1100,150
63.447076,1100,200
63.447076,1100,250
51.269841,1100,300
51.269841,1100,350
71.919884,1100,400
71.919884,1100,450
53.968254,1100,500
53.968254,1100,550
73.413984,1100,600
73.413984,1100,650
68.013054,1100,700
68.013054,1100,750
64.252536,1100,800
64.252536,1100,850
60.351798,1100,900
60.351798,1100,950
57.300293,1100,1000
57.300293,1100,1050
59.478141,1100,1100
59.478141,1100,1150
72.132117,1100,1200
72.132117,1100,1250
66.697953,1100,1300
66.697953,1100,1350
66.144635,1100,1400
66.144635,1100,1450
66.839579,1100,1500
66.839579,1100,1550
64.323468,1100,1600
64.323468,1100,1650
80.670165,1100,1700
80.670165,1100,1750
82.565615,1100,1800
82.565615,1100,1850
73.105995,1100,1900
73.105995,1100,1950
67.537503,1100,2000
67.537503,1100,2050
57.130359,1100,2100
57.130359,1100,2150
60.369487,1100,2200
60.369487,1100,2250
61.974632,1100,2300
61.974632,1100,2350
61.387416,1100,2400
61.387416,1100,2450
77.275091,1150,0
77.275091,1150,50
75.294951,1150,100
75.294951,1150,150
63.447076,1150,200
63.447076,1150,250
51.269841,1150,300
51.269841,1150,350
71.919884,1150,400
71.919884,1150,450
53.968254,1150,500
53.968254,1150,550
73.413984,1150,600
73.413984,1150,650
68.013054,1150,700
68.013054,1150,750
64.252536,1150,800
64.252536,1150,850
60.351798,1150,900
60.351798,1150,950
57.300293,1150,1000
57.300293,1150,1050
59.478141,1150,1100
59.478141,1150,1150
72.132117,1150,1200
72.132117,1150,1250
66.697953,1150,1300
66.697953,1150,1350
66.144635,1150,1400
66.144635,1150,1450
66.839579,1150,1500
66.839579,1150,1550
64.323468,1150,1600
64.323468,1150,1650
80.670165,1150,1700
80.670165,1150,1750
82.565615,1150,1800
82.565615,1150,1850
73.105995,1150,1900
73.105995,1150,1950
67.537503,1150,2000
67.537503,1150,2050
57.130359,1150,2100
57.130359,1150,2150
60.369487,1150,2200
60.369487,1150,2250
61.974632,1150,2300
61.974632,1150,2350
61.387416,1150,2400
61.387416,1150,2450
76.451701,1200,0
76.451701,1200,50
63.785701,1200,100
63.785701,1200,150
59.839581,1200,200
59.839581,1200,250
51.269841,1200,300
51.269841,1200,350
53.968254,1200,400
53.968254,1200,450
64.940074,1200,500
64.940074,1200,550
65.719949,1200,600
65.719949,1200,650
75.886674,1200,700
75.886674,1200,750
74.399804,1200,800
74.399804,1200,850
68.586342,1200,900
68.586342,1200,950
63.907282,1200,1000
63.907282,1200,1050
66.036213,1200,1100
66.036213,1200,1150
79.469482,1200,1200
79.469482,1200,1250
70.960182,1200,1300
70.960182,1200,1350
69.601276,1200,1400
69.601276,1200,1450
71.828636,1200,1500
71.828636,1200,1550
67.212918,1200,1600
67.212918,1200,1650
81.918855,1200,1700
81.918855,1200,1750
75.238785,1200,1800
75.238785,1200,1850
57.835716,1200,1900
57.835716,1200,1950
53.302774,1200,2000
53.302774,1200,2050
54.112321,1200,2100
54.112321,1200,2150
54.2385,1200,2200
54.2385,1200,2250
55.296699,1200,2300
55.296699,1200,2350
59.086952,1200,2400
59.086952,1200,2450
76.451701,1250,0
76.451701,1250,50
63.785701,1250,100
63.785701,1250,150
59.839581,1250,200
59.839581,1250,250
51.269841,1250,300
51.269841,1250,350
53.968254,1250,400
53.968254,1250,450
64.940074,1250,500
64.940074,1250,550
65.719949,1250,600
65.719949,1250,650
75.886674,1250,700
75.886674,1250,750
74.399804,1250,800
74.399804,1250,850
68.586342,1250,900
68.586342,1250,950
63.907282,1250,1000
63.907282,1250,1050
66.036213,1250,1100
66.036213,1250,1150
79.469482,1250,1200
79.469482,1250,1250
70.960182,1250,1300
70.960182,1250,1350
69.601276,1250,1400
69.601276,1250,1450
71.828636,1250,1500
71.828636,1250,1550
67.212918,1250,1600
67.212918,1250,1650
81.918855,1250,1700
81.918855,1250,1750
75.238785,1250,1800
75.238785,1250,1850
57.835716,1250,1900
57.835716,1250,1950
53.302774,1250,2000
53.302774,1250,2050
54.112321,1250,2100
54.112321,1250,2150
54.2385,1250,2200
54.2385,1250,2250
55.296699,1250,2300
55.296699,1250,2350
59.086952,1250,2400
59.086952,1250,2450
65.512221,1300,0
65.512221,1300,50
59.538166,1300,100
59.538166,1300,150
51.269841,1300,200
51.269841,1300,250
51.269841,1300,300
51.269841,1300,350
58.295571,1300,400
58.295571,1300,450
58.387608,1300,500
58.387608,1300,550
63.905849,1300,600
63.905849,1300,650
69.100464,1300,700
69.100464,1300,750
67.928889,1300,800
67.928889,1300,850
77.133909,1300,900
77.133909,1300,950
78.607074,1300,1000
78.607074,1300,1050
83.747023,1300,1100
83.747023,1300,1150
88.753173,1300,1200
88.753173,1300,1250
92.547093,1300,1300
92.547093,1300,1350
80.871463,1300,1400
80.871463,1300,1450
82.762033,1300,1500
82.762033,1300,1550
87.138255,1300,1600
87.138255,1300,1650
78.797385,1300,1700
78.797385,1300,1750
70.052445,1300,1800
70.052445,1300,1850
53.884985,1300,1900
53.884985,1300,1950
49.977493,1300,2000
49.977493,1300,2050
51.544294,1300,2100
51.544294,1300,2150
52.154636,1300,2200
52.154636,1300,2250
52.823217,1300,2300
52.823217,1300,2350
55.075539,1300,2400
55.075539,1300,2450
65.512221,1350,0
65.512221,1350,50
59.538166,1350,100
59.538166,1350,150
51.269841,1350,200
51.269841,1350,250
51.269841,1350,300
51.269841,1350,350
58.295571,1350,400
58.295571,1350,450
58.387608,1350,500
58.387608,1350,550
63.905849,1350,600
63.905849,1350,650
69.100464,1350,700
69.100464,1350,750
67.928889,1350,800
67.928889,1350,850
77.133909,1350,900
77.133909,1350,950
78.607074,1350,1000
78.607074,1350,1050
83.747023,1350,1100
83.747023,1350,1150
88.753173,1350,1200
88.753173,1350,1250
92.547093,1350,1300
92.547093,1350,1350
80.871463,1350,1400
80.871463,1350,1450
82.762033,1350,1500
82.762033,1350,1550
87.138255,1350,1600
87.138255,1350,1650
78.797385,1350,1700
78.797385,1350,1750
70.052445,1350,1800
70.052445,1350,1850
53.884985,1350,1900
53.884985,1350,1950
49.977493,1350,2000
49.977493,1350,2050
51.544294,1350,2100
51.544294,1350,2150
52.154636,1350,2200
52.154636,1350,2250
52.823217,1350,2300
52.823217,1350,2350
55.075539,1350,2400
55.075539,1350,2450
55.904923,1400,0
55.904923,1400,50
54.989965,1400,100
54.989965,1400,150
51.269841,1400,200
51.269841,1400,250
51.269841,1400,300
51.269841,1400,350
53.968254,1400,400
53.968254,1400,450
56.563109,1400,500
56.563109,1400,550
58.289956,1400,600
58.289956,1400,650
61.711562,1400,700
61.711562,1400,750
66.659876,1400,800
66.659876,1400,850
70.202038,1400,900
70.202038,1400,950
84.872413,1400,1000
84.872413,1400,1050
89.987613,1400,1100
89.987613,1400,1150
96.487743,1400,1200
96.487743,1400,1250
105.706593,1400,1300
105.706593,1400,1350
108.538733,1400,1400
108.538733,1400,1450
115.370203,1400,1500
115.370203,1400,1550
86.160715,1400,1600
86.160715,1400,1650
63.18711,1400,1700
63.18711,1400,1750
69.357825,1400,1800
69.357825,1400,1850
57.999665,1400,1900
57.999665,1400,1950
52.957517,1400,2000
52.957517,1400,2050
51.172505,1400,2100
51.172505,1400,2150
52.031881,1400,2200
52.031881,1400,2250
54.141031,1400,2300
54.141031,1400,2350
55.777436,1400,2400
55.777436,1400,2450
55.904923,1450,0
55.904923,1450,50
54.989965,1450,100
54.989965,1450,150
51.269841,1450,200
51.269841,1450,250
51.269841,1450,300
51.269841,1450,350
53.968254,1450,400
53.968254,1450,450
56.563109,1450,500
56.563109,1450,550
58.289956,1450,600
58.289956,1450,650
61.711562,1450,700
61.711562,1450,750
66.659876,1450,800
66.659876,1450,850
70.202038,1450,900
70.202038,1450,950
84.872413,1450,1000
84.872413,1450,1050
89.987613,1450,1100
89.987613,1450,1150
96.487743,1450,1200
96.487743,1450,1250
105.706593,1450,1300
